Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*,Manhattan,28,5304,1.3583808616259272
A*,Misplaced Titles,28,77633,1.4950114304886755
IDS,N/A,28,2447,1.321364521181753
A*,Manhattan,21,1200,1.4016115846440533
A*,Misplaced Titles,21,7845,1.5326987635268807
IDS,N/A,23,17707,1.5300370800862146
A*,Manhattan,25,4800,1.4036203286950304
A*,Misplaced Titles,25,36336,1.5219959075519363
IDS,N/A,31,32388,1.397964883792495
A*,Manhattan,19,247,1.3363844653630497
A*,Misplaced Titles,19,3196,1.5291602069448742
IDS,N/A,21,13280,1.5716026971885886
A*,Manhattan,26,1327,1.3185919501850116
A*,Misplaced Titles,26,44124,1.5088335813735305
IDS,N/A,30,57226,1.440742761666592
A*,Manhattan,15,133,1.385447615088327
A*,Misplaced Titles,15,532,1.5195935522872221
IDS,N/A,23,20424,1.539562861486424
A*,Manhattan,24,1910,1.3699657940889232
A*,Misplaced Titles,24,19344,1.5087111332488952
IDS,N/A,36,11527,1.2966580260675404
A*,Manhattan,18,250,1.3589982246050791
A*,Misplaced Titles,18,2166,1.5321961207937558
IDS,N/A,20,1869,1.457405704447806
A*,Manhattan,15,147,1.3947225488588755
A*,Misplaced Titles,15,567,1.5260620902145556
IDS,N/A,17,1251,1.5212185283506232
A*,Manhattan,25,5649,1.4127940688314486
A*,Misplaced Titles,25,40640,1.5288263098748094
IDS,N/A,33,31859,1.3691832577908603
A*,Manhattan,14,128,1.414213562373095
A*,Misplaced Titles,14,285,1.497428385503936
IDS,N/A,14,678,1.593054715363555
A*,Manhattan,19,218,1.3276287775357296
A*,Misplaced Titles,19,2399,1.5062474644252757
IDS,N/A,23,21539,1.5431250106461736
A*,Manhattan,23,1012,1.3510145376225007
A*,Misplaced Titles,23,16746,1.526329535263737
IDS,N/A,23,18538,1.5330910603031662
A*,Manhattan,24,3381,1.4029543784449081
A*,Misplaced Titles,24,20822,1.5133467035531167
IDS,N/A,34,63259,1.3842338972129686
A*,Manhattan,27,4185,1.361873812726538
A*,Misplaced Titles,27,73151,1.5141060897799659
IDS,N/A,37,24552,1.3141683289955846
A*,Manhattan,19,653,1.4065440092791117
A*,Misplaced Titles,19,3508,1.536675203684392
IDS,N/A,27,23203,1.4510648431072026
A*,Manhattan,23,973,1.348708049696021
A*,Misplaced Titles,23,18453,1.5327847579448335
IDS,N/A,35,88999,1.3848763655919458
A*,Manhattan,20,657,1.3831786235523564
A*,Misplaced Titles,20,6196,1.5474106104709366
IDS,N/A,24,11579,1.4767930071973367
A*,Manhattan,18,98,1.2901008782136127
A*,Misplaced Titles,18,1747,1.5140052586239756
IDS,N/A,36,20634,1.317800110466323
A*,Manhattan,21,515,1.346274679002053
A*,Misplaced Titles,21,7577,1.5301639503556623
IDS,N/A,21,15363,1.5825447570765496
A*,Manhattan,23,1977,1.3909279617045474
A*,Misplaced Titles,23,16636,1.5258922446531986
IDS,N/A,23,13226,1.5107497960005116
A*,Manhattan,22,1004,1.369122921899632
A*,Misplaced Titles,22,10079,1.520454821873525
IDS,N/A,32,20578,1.3639355491747656
A*,Manhattan,21,839,1.3779287449404214
A*,Misplaced Titles,21,7710,1.5314323874779006
IDS,N/A,23,17256,1.5283217310775108
A*,Manhattan,28,10005,1.389520300813072
A*,Misplaced Titles,26,44997,1.509970972176414
IDS,N/A,34,13316,1.3222242298288769
A*,Manhattan,22,285,1.2929563317132804
A*,Misplaced Titles,22,12864,1.537410417799773
IDS,N/A,32,22913,1.3685244506136631
A*,Manhattan,22,807,1.355597050448877
A*,Misplaced Titles,22,10506,1.5233251381182515
IDS,N/A,24,28690,1.5336941916836517
A*,Manhattan,22,694,1.346333658070022
A*,Misplaced Titles,22,9206,1.5142062837545662
IDS,N/A,26,8501,1.4162289315453775
A*,Manhattan,20,545,1.3703131491373242
A*,Misplaced Titles,20,4282,1.519085901641641
IDS,N/A,32,7622,1.322253284579989
A*,Manhattan,20,1019,1.413867492049214
A*,Misplaced Titles,20,4530,1.5233682861391011
IDS,N/A,20,9727,1.5827012515780852
A*,Manhattan,26,4418,1.3810232460839167
A*,Misplaced Titles,26,45511,1.5106307548877362
IDS,N/A,34,3742,1.2737707966849339
A*,Manhattan,28,9608,1.387512462674287
A*,Misplaced Titles,28,86429,1.5007531632856965
IDS,N/A,40,14019,1.2696029588749982
A*,Manhattan,25,3259,1.3820487879598362
A*,Misplaced Titles,25,35464,1.5205178004786593
IDS,N/A,27,17842,1.4370135778970208
A*,Manhattan,21,646,1.3608823956744978
A*,Misplaced Titles,21,7564,1.530038832350848
IDS,N/A,27,2816,1.3420360195865177
A*,Manhattan,22,1278,1.3842226391268215
A*,Misplaced Titles,22,12075,1.5329935391814826
IDS,N/A,24,17219,1.5014135474763237
A*,Manhattan,23,2096,1.394467241729121
A*,Misplaced Titles,23,17821,1.5304640529628746
IDS,N/A,35,26705,1.3380553344423975
A*,Manhattan,22,1380,1.389062466954654
A*,Misplaced Titles,22,9463,1.516102568977769
IDS,N/A,28,74206,1.4926027958767443
A*,Manhattan,20,521,1.3672309664304718
A*,Misplaced Titles,20,4077,1.5153642439918178
IDS,N/A,28,22892,1.4312087760217416
A*,Manhattan,24,3286,1.4012893294879702
A*,Misplaced Titles,24,20870,1.5134919035887193
IDS,N/A,32,25731,1.373494013268051
A*,Manhattan,18,562,1.4215532371142658
A*,Misplaced Titles,18,2149,1.5315255460933617
IDS,N/A,18,8528,1.6534093892581072
A*,Manhattan,22,1425,1.391089975824416
A*,Misplaced Titles,22,10527,1.5234634112664078
IDS,N/A,32,28600,1.3780387772020897
A*,Manhattan,26,2085,1.3417077407159488
A*,Misplaced Titles,26,41775,1.5056622298991948
IDS,N/A,36,53371,1.3530505969628035
A*,Manhattan,16,188,1.3871865381670445
A*,Misplaced Titles,16,794,1.5178846930837075
IDS,N/A,22,3845,1.4552909674653203
A*,Manhattan,26,4831,1.3857782228072577
A*,Misplaced Titles,26,43638,1.5081909829014937
IDS,N/A,28,11986,1.39851438657044
A*,Manhattan,18,159,1.3252561864490262
A*,Misplaced Titles,18,1858,1.5191954483221513
IDS,N/A,22,8944,1.512220361516233
A*,Manhattan,24,2430,1.383779613452332
A*,Misplaced Titles,24,21113,1.5142221026231555
IDS,N/A,32,83506,1.424963294498255
A*,Manhattan,18,258,1.3613784528654467
A*,Misplaced Titles,18,1784,1.5157690923123248
IDS,N/A,22,5148,1.474724320997952
A*,Manhattan,23,1875,1.3877281663315912
A*,Misplaced Titles,23,17681,1.5299393321379957
IDS,N/A,33,26311,1.3612677515552658
A*,Manhattan,24,1753,1.3650783531142041
A*,Misplaced Titles,24,19034,1.5076958961320381
IDS,N/A,36,67718,1.3620285956511529
A*,Manhattan,19,269,1.3423992441383337
A*,Misplaced Titles,19,2469,1.5085292712674192
IDS,N/A,19,26208,1.7082410405000799
A*,Manhattan,28,9539,1.3871553517003297
A*,Misplaced Titles,28,84652,1.499640096056272
IDS,N/A,38,62283,1.337111484615239
A*,Manhattan,22,1161,1.378194636494338
A*,Misplaced Titles,22,9683,1.517687193975065
IDS,N/A,26,19035,1.4608249836295732
A*,Manhattan,21,628,1.3590523113706778
A*,Misplaced Titles,21,8406,1.5377481345150075
IDS,N/A,27,17537,1.4360961889886972
A*,Manhattan,12,45,1.3733072394983359
A*,Misplaced Titles,12,126,1.4963420436860062
IDS,N/A,12,1398,1.8286289777209181
A*,Manhattan,25,3838,1.3911187326499557
A*,Misplaced Titles,25,39100,1.5264657711341014
IDS,N/A,27,18048,1.4376246858880959
A*,Manhattan,27,4109,1.3609497160020203
A*,Misplaced Titles,27,74476,1.5151130879087944
IDS,N/A,31,6499,1.3273793271594756
A*,Manhattan,28,8453,1.3811803409276413
A*,Misplaced Titles,28,78397,1.4955344057533995
IDS,N/A,36,32197,1.3341881980500376
A*,Manhattan,23,2211,1.3977094512281136
A*,Misplaced Titles,23,16977,1.5272389717816865
IDS,N/A,33,36778,1.3751534249086215
A*,Manhattan,24,3946,1.412016846959453
A*,Misplaced Titles,24,21122,1.514248992091077
IDS,N/A,30,8786,1.3535045081717296
A*,Manhattan,22,674,1.344545333816088
A*,Misplaced Titles,22,10718,1.5247090874711726
IDS,N/A,26,11236,1.4315046360726176
A*,Manhattan,22,613,1.3387600646861015
A*,Misplaced Titles,22,11123,1.5272818087517053
IDS,N/A,28,33724,1.4511493445940062
A*,Manhattan,26,5537,1.393067297031399
A*,Misplaced Titles,26,47523,1.5131462896376517
IDS,N/A,34,28170,1.35168683441112
A*,Manhattan,19,645,1.40563176816713
A*,Misplaced Titles,19,3842,1.5440484143319708
IDS,N/A,25,5087,1.4068845796049447
A*,Manhattan,25,2675,1.3711752055163895
A*,Misplaced Titles,25,38270,1.5251562489470138
IDS,N/A,31,51999,1.4194786692766168
A*,Manhattan,17,237,1.379402723658759
A*,Misplaced Titles,17,1217,1.5187548613633326
IDS,N/A,17,3180,1.6070342200995826
A*,Manhattan,24,2134,1.3763105342279731
A*,Misplaced Titles,24,20198,1.5114293404682064
IDS,N/A,26,7892,1.4121857038579206
A*,Manhattan,18,755,1.445060206463945
A*,Misplaced Titles,18,2393,1.5407033923690114
IDS,N/A,18,9437,1.6627390965284456
A*,Manhattan,24,4273,1.4167086226508425
A*,Misplaced Titles,24,23699,1.521529641874246
IDS,N/A,34,19120,1.3363681435748107
A*,Manhattan,22,1020,1.370107214777889
A*,Misplaced Titles,22,9304,1.5149352721159381
IDS,N/A,22,7110,1.4965284650587016
A*,Manhattan,23,1150,1.3585443453544197
A*,Misplaced Titles,23,18691,1.5336390346396198
IDS,N/A,35,32524,1.3456128101363987
A*,Manhattan,24,1492,1.3559396724684705
A*,Misplaced Titles,24,19477,1.5091419310400305
IDS,N/A,32,33761,1.3852015798062693
A*,Manhattan,22,1074,1.3733237220197008
A*,Misplaced Titles,22,12212,1.5337798790593002
IDS,N/A,38,53171,1.3315573123428306
A*,Manhattan,28,14144,1.4068076560064071
A*,Misplaced Titles,26,43954,1.508609581503776
IDS,N/A,30,10135,1.3599641448182633
A*,Manhattan,26,2577,1.3526851067360586
A*,Misplaced Titles,24,25607,1.526446588315493
IDS,N/A,32,24658,1.3716669759637732
A*,Manhattan,21,1130,1.3976057790955672
A*,Misplaced Titles,21,7988,1.5340177457571893
IDS,N/A,21,7589,1.5302792625709618
A*,Manhattan,21,1050,1.3927275195289133
A*,Misplaced Titles,21,8060,1.534673359982208
IDS,N/A,21,1022,1.3909361213812519
A*,Manhattan,26,4917,1.386719011210889
A*,Misplaced Titles,26,42601,1.5067965163073982
IDS,N/A,32,47990,1.4005091834532832
A*,Manhattan,21,286,1.3090909216435063
A*,Misplaced Titles,21,7315,1.5276019574897548
IDS,N/A,21,3907,1.4826551909537866
A*,Manhattan,23,1338,1.36751744277983
