Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*(h2),Manhattan,18,604,1.427256574278686
A*(h1),Misplaced Titles,18,2162,1.5320387868557082
IDS,N/A,20,27102,1.6659043685129544
A*(h2),Manhattan,24,1426,1.353385897949451
A*(h1),Misplaced Titles,24,26362,1.5282958418218364
IDS,N/A,26,117447,1.5667291372831191
A*(h2),Manhattan,22,916,1.3634261283147229
A*(h1),Misplaced Titles,22,9784,1.5184032025953635
IDS,N/A,26,138686,1.5767777591301375
A*(h2),Manhattan,24,4030,1.4132566692121131
A*(h1),Misplaced Titles,24,31022,1.538696295022329
IDS,N/A,24,211663,1.6668705469023404
A*(h2),Manhattan,25,2755,1.3727923934899169
A*(h1),Misplaced Titles,25,35787,1.5210693376443227
IDS,N/A,29,300972,1.5449509398903387
A*(h2),Manhattan,22,822,1.3567323283171928
A*(h1),Misplaced Titles,22,9486,1.516269871162829
IDS,N/A,38,797637,1.429916460462649
A*(h2),Manhattan,18,212,1.346607041715182
A*(h1),Misplaced Titles,18,1927,1.5222760988022082
IDS,N/A,18,21317,1.73974173717968
A*(h2),Manhattan,25,4522,1.4002746362232226
A*(h1),Misplaced Titles,23,17728,1.5301159301800482
IDS,N/A,35,567345,1.4601438217999587
A*(h2),Manhattan,25,2416,1.3656011605749006
A*(h1),Misplaced Titles,25,38128,1.524929482449555
IDS,N/A,29,241525,1.5332726270346249
A*(h2),Manhattan,25,3988,1.393253702950999
A*(h1),Misplaced Titles,23,16742,1.5263136819886807
IDS,N/A,27,166708,1.5610103914722733
A*(h2),Manhattan,26,4166,1.37790720724988
A*(h1),Misplaced Titles,26,42896,1.5071964995110072
IDS,N/A,36,889186,1.4630184226627283
A*(h2),Manhattan,22,613,1.3387600646861015
A*(h1),Misplaced Titles,22,9835,1.5187620749717214
IDS,N/A,26,151894,1.5823043564929518
A*(h2),Manhattan,17,121,1.3259183665908472
A*(h1),Misplaced Titles,17,1134,1.5124572945959114
IDS,N/A,17,17173,1.7746331842716774
A*(h2),Manhattan,18,423,1.3992902181975893
A*(h1),Misplaced Titles,18,2128,1.5306902377692564
IDS,N/A,20,28351,1.6696614462745754
A*(h2),Manhattan,28,7115,1.3727064526273556
A*(h1),Misplaced Titles,28,85953,1.5004571886161144
IDS,N/A,36,587791,1.4462926946771042
A*(h2),Manhattan,24,1942,1.3709145456584981
A*(h1),Misplaced Titles,24,20168,1.5113357355274282
IDS,N/A,36,628742,1.4490009819582284
A*(h2),Manhattan,24,1125,1.340081942362466
A*(h1),Misplaced Titles,24,19965,1.5106988134637218
IDS,N/A,32,394176,1.4957717204964427
A*(h2),Manhattan,23,341,1.288604832240471
A*(h1),Misplaced Titles,23,17345,1.5286636064617707
IDS,N/A,25,107050,1.5892179688719692
A*(h2),Manhattan,26,5501,1.3927178447192043
A*(h1),Misplaced Titles,24,23134,1.5200006738198801
IDS,N/A,24,175336,1.6538443310283442
A*(h2),Manhattan,16,114,1.3444868324319708
