Depth,A*(h1).b*,A*(h2).b*,IDS.b*,A*(h1).total nodes,A*(h2).total nodes,IDS.total nodes
2,2.372281323,2.372281323,3.531128874,8,,16
4,1.449033657,1.449033657,2.41063528,11,11,56
6,1.415375712,1.337171692,2.095565917,24.25,19,162.25
8,1.318811157,1.242870373,2.008014508,34.4,24.2,526.8
10,1.323405025,1.194095609,1.919904281,65.47368421,31.15789474,1715.266667
12,1.371486281,1.230503859,1.867138205,162.3589744,62.34210526,5303.111111
14,1.387488238,1.227910093,1.779349631,355.4166667,97.37349398,8989.479167
16,1.408124379,1.243907973,1.73147182,837.4648649,179.0393258,20710.5
18,1.426487329,1.257161735,1.662250478,2020.2025,328.8976982,27388.69461
20,1.436406708,1.264919929,1.625645701,4631.261411,579.0789474,48525.80866
22,1.443217074,1.275526874,1.588417388,10518.64045,1080.300672,77057.23476
24,1.445591538,1.28346622,1.552420791,22707.84705,1993.19009,116708.8208
26,1.443605186,1.291526552,1.520697526,45668.04478,3754.443828,166198.2825
28,1.437726174,1.299586178,1.493655597,85558.39877,7170.094527,240222.4436
30,1.418538082,1.305938083,1.470102862,121792.875,13825.38889,336573.0713
